연도,월,시도,최고기온,평균기온,평균습도,월강수합계,기온일교차,시도_매핑,변압기화재건수
2021,1,대전,12.2,-1.8548387096774193,62.25806451612903,16.5,9.587096774193547,,0
2021,1,부산,14.2,1.5935483870967742,57.87096774193548,30.9,9.019354838709678,,0
2021,1,서울,11.1,-3.870967741935484,54.70967741935484,16.7,9.274193548387096,,0
2021,1,세종,12.1,-1.7000000000000002,60.25806451612903,16.1,9.86774193548387,,0
2021,1,울산,15.3,0.42258064516129035,56.25806451612903,30.6,9.958064516129031,,0
2021,1,인천,11.2,-2.838709677419355,55.16129032258065,18.0,8.416129032258064,인천,1
2021,1,전남,13.8,2.261290322580645,71.64516129032258,38.699999999999996,7.45483870967742,,0
2021,1,전북,15.2,0.09032258064516129,65.29032258064517,28.0,9.403225806451612,,0
2021,1,제주,16.9,5.6,74.48387096774194,116.2,5.290322580645161,,0
2021,1,충남,11.3,-2.551612903225806,60.645161290322584,22.2,9.393548387096773,,0
2021,1,충북,12.4,-1.7516129032258065,59.064516129032256,16.400000000000002,9.793548387096775,,0
2021,2,강원,17.0,0.9392857142857143,57.57142857142857,7.3,11.485714285714286,,0
2021,2,경기,16.9,0.9214285714285716,61.642857142857146,10.3,10.832142857142857,,0
2021,2,경남,18.0,5.375,59.25,45.5,9.875,,0
2021,2,경북,21.0,2.0357142857142856,55.857142857142854,16.3,11.132142857142856,,0
2021,2,광주,20.6,4.257142857142857,63.892857142857146,27.4,10.87857142857143,,0
2021,2,대구,23.5,4.121428571428572,55.892857142857146,23.400000000000002,11.582142857142857,,0
2021,2,대전,18.9,2.417857142857143,61.5,20.2,10.960714285714285,,0
2021,2,부산,17.5,5.553571428571429,61.035714285714285,46.6,9.114285714285714,,0
2021,2,서울,16.0,0.4821428571428571,61.857142857142854,11.6,11.167857142857143,,0
2021,2,세종,18.5,2.5,61.214285714285715,14.4,11.064285714285715,,0
2021,2,울산,22.3,4.825,56.607142857142854,39.4,11.542857142857143,,0
2021,2,인천,14.8,1.114285714285714,63.5,12.2,9.164285714285715,,0
2021,2,전남,15.2,4.889285714285714,70.96428571428571,33.699999999999996,7.167857142857143,,0
2021,2,전북,21.7,3.7178571428571425,62.857142857142854,23.299999999999997,10.803571428571429,,0
2021,2,제주,20.9,8.075,74.28571428571429,81.1,6.364285714285714,,0
2021,2,충남,18.8,1.7928571428571427,62.535714285714285,11.1,10.485714285714286,,0
2021,2,충북,19.0,2.457142857142857,61.32142857142857,14.5,11.200000000000001,,0
2021,3,강원,20.2,6.716129032258064,69.16129032258064,100.8,12.329032258064515,,0
2021,3,경기,19.8,6.603225806451612,73.06451612903226,99.7,11.229032258064517,경기,1
2021,3,경남,20.7,10.019354838709678,70.61290322580645,150.0,9.509677419354839,,0
2021,3,경북,21.9,7.661290322580645,65.87096774193549,105.3,11.396774193548387,,0
2021,3,광주,22.2,8.974193548387097,72.48387096774194,109.19999999999999,12.387096774193548,,0
2021,3,대구,24.1,9.474193548387097,66.12903225806451,98.7,11.529032258064516,,0
2021,3,대전,22.6,8.09032258064516,67.80645161290323,102.5,12.148387096774194,,0
2021,3,부산,19.5,10.12258064516129,72.09677419354838,154.4,8.429032258064517,,0
2021,3,서울,19.2,6.72258064516129,71.93548387096774,94.7,11.09032258064516,,0
2021,3,세종,21.9,8.183870967741935,68.29032258064517,96.5,11.996774193548386,,0
2021,3,울산,21.0,9.067741935483872,70.70967741935483,122.19999999999999,10.719354838709679,,0
2021,3,인천,17.2,6.387096774193548,76.58064516129032,96.5,8.929032258064517,,0
2021,3,전남,19.7,8.796774193548387,80.03225806451613,103.7,7.241935483870968,,0
2021,3,전북,22.9,8.941935483870967,71.48387096774194,88.5,11.641935483870967,,0
2021,3,제주,21.1,11.364516129032259,77.87096774193549,181.2,7.164516129032258,,0
2021,3,충남,21.0,7.358064516129032,70.12903225806451,86.7,11.529032258064515,,0
2021,3,충북,22.0,8.235483870967743,69.3225806451613,97.4,11.961290322580645,,0
2021,4,강원,25.4,11.433333333333334,65.43333333333334,87.0,12.379999999999999,강원,1
2021,4,경기,26.4,11.82,63.36666666666667,81.39999999999999,10.876666666666667,,0
2021,4,경남,24.5,13.663333333333332,62.96666666666667,80.8,9.62,,0
2021,4,경북,26.4,11.95,57.96666666666667,80.60000000000001,11.616666666666667,,0
2021,4,광주,27.2,13.766666666666667,57.46666666666667,68.1,12.156666666666666,,0
2021,4,대구,29.4,13.786666666666667,56.166666666666664,62.7,12.22,,0
